service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA+b0caq","0","0","0","0","0","0","1","20181209","20191214"
"TA+b080v","0","0","0","0","0","0","1","20181209","20191214"
"TA+b1069","1","1","1","1","0","0","0","20181209","20191214"
"TA+b11wc","0","0","0","0","0","0","1","20181209","20191214"
"TA+b10f5","0","0","1","0","0","0","0","20181209","20191214"
"TA+b07dq","0","0","0","0","0","0","1","20181209","20191214"
"TA+b01pf","1","1","1","1","0","0","0","20181209","20191214"
"TA+b0ca4","0","0","0","0","0","0","1","20181209","20191214"
"TA+b07p3","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0bjo","1","0","0","0","0","0","0","20181209","20191214"
"TA+b07zz","0","1","1","0","0","0","0","20181209","20191214"
"TA+b0bjs","0","0","0","0","0","0","1","20181209","20191214"
"TA+b09a1","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11zv","0","1","1","1","0","0","0","20181209","20191214"
"TA+b03lq","0","0","0","0","0","0","1","20181209","20191214"
"TA+b08zm","0","0","0","1","0","0","0","20181209","20191214"
"TA+b0ing","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11zw","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0b7c","0","0","0","0","0","0","1","20181209","20191214"
"TA+b0cjx","0","0","0","0","0","1","0","20181209","20191214"
"TA+b0564","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11zx","0","0","0","0","0","1","1","20181209","20191214"
"TA+b08to","0","0","0","0","0","1","1","20181209","20191214"
"TA+b089i","0","0","0","0","0","1","0","20181209","20191214"
"TA+b11p6","1","1","1","0","0","0","0","20181209","20191214"
"TA+b0bfz","0","0","0","0","0","1","1","20181209","20191214"
"TA+b011w","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0ba1","1","1","0","0","0","0","1","20181209","20191214"
"TA+b0yg7","1","1","1","1","0","0","1","20181209","20191214"
"TA+b0cmh","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0cme","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0cmc","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11qk","1","1","1","1","1","0","1","20181209","20191214"
"TA+b063t","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0qqx","0","0","0","0","0","1","1","20181209","20191214"
"TA+b06z7","1","1","1","1","1","1","1","20181209","20191214"
"TA+b11v5","0","0","0","0","0","1","0","20181209","20191214"
"TA+b06z8","1","1","1","1","1","1","1","20181209","20191214"
"TA+b0qqy","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0qfq","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0qqz","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0qfo","1","1","1","1","1","0","1","20181209","20191214"
"TA+b0qfn","0","0","0","0","1","1","0","20181209","20191214"
"TA+b063u","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0z2e","0","0","0","0","0","1","1","20181209","20191214"
"TA+b05gh","0","0","0","0","0","1","0","20181209","20191214"
"TA+b0qr0","1","1","1","1","1","0","0","20181209","20191214"
